2,1.303,,,,,
0,0.002,,1,190,,0
2,1.2,,2,397,,1
2,0.97,,3,646,,2
1,1.14,,4,342,,3
0,0.001,,5,35,,4
2,1.169,,,,,
2,1.351,,,,,
2,1.036,,,,,
2,1.84,,,,,
2,1.242,,,,,
0,0.001,,,,,
0,0.002,,,,,
2,1.147,,,,,
0,0.001,,,,,
2,0.837,,,,,
2,1.188,,,,,
2,0.972,,,,,
2,1.71,,,,,
2,1.16,,,,,
0,0.001,,,,,
0,0.001,,,,,
2,1.321,,,,,
2,2.275,,,,,
2,1.287,,,,,
2,2.159,,,,,
0,0.001,,,,,
0,0.002,,,,,
3,1.809,,,,,
2,1.061,,,,,
0,0.002,,,,,
2,1.86,,,,,
0,0.002,,,,,
0,0.002,,,,,
1,1.592,,,,,
0,0.002,,,,,
0,0.002,,,,,
2,4.127,,,,,
0,0.001,,,,,
2,1.078,,,,,
0,0.001,,,,,
0,0.002,,,,,
2,2.048,,,,,
2,1.456,,,,,
1,0.589,,,,,
0,0.001,,,,,
2,1.462,,,,,
0,0.001,,,,,
0,0.002,,,,,
3,2.77,,,,,
0,0.002,,,,,
3,2.592,,,,,
3,1.558,,,,,
1,0.843,,,,,
0,0.004,,,,,
3,1.409,,,,,
3,6.776,,,,,
2,7.717,,,,,
3,1.962,,,,,
3,1.875,,,,,
0,0.001,,,,,
0,0.002,,,,,
3,2.132,,,,,
0,0.002,,,,,
2,0.941,,,,,
3,1.274,,,,,
2,0.831,,,,,
2,3.725,,,,,
2,1.571,,,,,
0,0.002,,,,,
0,0.138,,,,,
3,2.364,,,,,
3,2.082,,,,,
3,7,,,,,
3,1.923,,,,,
1,0.619,,,,,
0,0.001,,,,,
3,1.936,,,,,
3,1.756,,,,,
0,0.002,,,,,
3,1.932,,,,,
0,0.001,,,,,
1,0.425,,,,,
2,1.845,,,,,
0,0.053,,,,,
0,0.001,,,,,
3,2.479,,,,,
0,0.002,,,,,
2,1.108,,,,,
0,0.003,,,,,
0,0.001,,,,,
3,11.289,,,,,
2,6.23,,,,,
1,1.692,,,,,
1,0.469,,,,,
2,1.861,,,,,
0,0.004,,,,,
0,0.002,,,,,
4,1.749,,,,,
4,2.328,,,,,
4,2.055,,,,,
2,0.882,,,,,
2,0.971,,,,,
1,1.337,,,,,
2,1.057,,,,,
1,0.649,,,,,
4,24.324,,,,,
2,1.758,,,,,
3,1.189,,,,,
2,1.367,,,,,
1,0.884,,,,,
1,0.767,,,,,
1,0.618,,,,,
2,1.08,,,,,
2,1.892,,,,,
1,0.736,,,,,
1,0.69,,,,,
1,0.287,,,,,
0,0.001,,,,,
3,1.152,,,,,
2,1.475,,,,,
1,0.476,,,,,
0,0.001,,,,,
1,0.861,,,,,
2,0.973,,,,,
2,2.832,,,,,
1,0.42,,,,,
2,0.953,,,,,
2,1.186,,,,,
0,0.003,,,,,
2,1.02,,,,,
3,1.939,,,,,
3,1.646,,,,,
3,1.398,,,,,
3,1.344,,,,,
1,4.198,,,,,
3,11.432,,,,,
1,1.359,,,,,
2,1.65,,,,,
1,1.342,,,,,
2,1.252,,,,,
3,1.614,,,,,
3,2.623,,,,,
3,1.79,,,,,
1,0.799,,,,,
3,1.937,,,,,
3,2.057,,,,,
1,0.654,,,,,
2,1.994,,,,,
2,0.961,,,,,
2,4.008,,,,,
1,0.601,,,,,
3,4.128,,,,,
3,2.134,,,,,
1,0.734,,,,,
2,1.205,,,,,
2,1.285,,,,,
2,1.373,,,,,
3,2.159,,,,,
2,1.32,,,,,
1,0.588,,,,,
3,2.715,,,,,
2,1.52,,,,,
3,1.855,,,,,
1,0.379,,,,,
3,3.019,,,,,
3,1.695,,,,,
1,0.55,,,,,
3,1.513,,,,,
2,1.021,,,,,
3,1.484,,,,,
3,1.022,,,,,
2,0.907,,,,,
